"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-04","77","82","71"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-05","76","82","69"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-06","79","89","68"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-07","78","91","65"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-08","77","89","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-09","75","85","64"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-10","75","87","63"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-11","74","87","61"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-12","73","89","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-13","74","89","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-14","73","88","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-15","74","88","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-16","75","90","60"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-17","74","90","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-18","73","88","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-19","70","83","57"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-20","69","75","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-21","67","71","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-22","68","74","62"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-23","65","74","56"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-24","64","74","53"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-25","65","74","55"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-26","63","71","55"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-27","66","73","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-28","65","77","52"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-29","63","73","53"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-09-30","64","74","54"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-01","67","78","55"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-02","63","68","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-03","66","73","58"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-04","65","76","54"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-05","69","86","52"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-06","74","92","55"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-07","71","88","53"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-08","69","85","53"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-09","68","83","52"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-10","65","78","51"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-11","67","83","51"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-12","69","85","53"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-13","66","77","54"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","1998-10-14","61","69","52"
